,place_id,name,datetime,rating,rating_n,populartimes,usual_popularity,current_popularity
0,ChIJe_zcvicvdTERSGbNONHtAuQ,Cơm Việt Nam,03-03-2024 17:43,4.0,26.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 5, 5, 15, 40, 65, 95, 95, 75, 30, 15, 15, 10, 10, 5, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 10, 30, 60, 65, 55, 50, 30, 25, 5, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 5, 0, 5, 25, 60, 95, 100, 60, 25, 5, 0, 5, 20, 25, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 20, 50, 75, 70, 45, 45, 45, 20, 10, 10, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 20, 35, 40, 20, 15, 25, 30, 10, 10, 10, 25, 50, 45, 20, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 25, 20, 35, 30, 60, 55, 70, 35, 20, 15, 25, 10, 5, 0, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 15, 20, 10, 15, 30, 55, 60, 45, 15, 5, 0, 0, 5, 20, 0, 0, 0, 0]}]",0,
1,ChIJacTy9dYudTERKxqTh09ADuc,Cá Vàng Mon - Ranchu Mon,03-03-2024 17:43,4.6,44.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 54, 90, 45, 36, 54, 63, 36, 36, 45, 45, 36, 36, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 45, 100, 81, 72, 81, 81, 72, 54, 36, 63, 27, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 36, 27, 18, 27, 45, 45, 63, 72, 36, 27, 36, 81, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 0, 9, 36, 72, 90, 63, 72, 72, 45, 27, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 45, 45, 81, 45, 18, 0, 9, 36, 63, 72, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 63, 72, 45, 27, 36, 81, 100, 72, 63, 36, 45, 54, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 45, 63, 45, 45, 27, 36, 27, 18, 36, 54, 63, 45, 0, 0]}]",18,
2,ChIJN6EiZ7QvdTERylk_MNiBq30,Cá Tháng Tư,03-03-2024 17:43,5.0,1.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 62, 100, 62, 25, 0, 12, 37, 50, 50, 12, 0, 0, 0, 12, 37, 12, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 12, 25, 62, 62, 37, 0, 0, 12, 37, 37, 75, 50, 25, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 25, 25, 62, 62, 100, 62, 62, 25, 12, 0, 12, 37, 87, 62, 25, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 37, 12, 0, 25, 75, 87, 37, 12, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 12, 50, 37, 25, 37, 87, 62, 25, 12, 25, 25, 0, 12, 25, 25, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 37, 25, 0, 0, 0, 0, 12, 0, 0, 0, 0, 25, 25, 75, 62, 50, 0, 0]}]",25,
3,ChIJl04GSzgvdTERmM7RgC8diXI,Bún chả cá sứa Nha Trang Thảo Hà,03-03-2024 17:43,4.2,23.0,"[{'name': 'Monday', 'data': [54, 81, 81, 36, 18, 27, 36, 45, 27, 27, 36, 18, 18, 0, 18, 18, 9, 0, 0, 0, 9, 18, 45, 54]}, {'name': 'Tuesday', 'data': [81, 36, 18, 18, 27, 9, 9, 27, 63, 54, 36, 18, 27, 54, 27, 18, 27, 63, 27, 9, 18, 27, 54, 36]}, {'name': 'Wednesday', 'data': [27, 45, 18, 18, 63, 54, 36, 18, 9, 9, 18, 36, 18, 18, 27, 9, 9, 18, 18, 0, 9, 18, 45, 18]}, {'name': 'Thursday', 'data': [27, 54, 100, 63, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 18, 18, 9, 0, 9, 18, 9, 18, 36]}, {'name': 'Friday', 'data': [36, 9, 0, 0, 0, 0, 9, 27, 9, 9, 18, 9, 0, 0, 0, 9, 9, 45, 45, 45, 18, 9, 9, 18]}, {'name': 'Saturday', 'data': [18, 0, 9, 0, 9, 18, 36, 18, 9, 0, 18, 45, 72, 27, 18, 18, 45, 18, 18, 18, 18, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 9, 18, 9, 18, 18, 9, 18, 45, 45, 18, 9, 9, 0, 9, 45, 54, 63, 27, 9, 9, 27, 18, 27]}]",63,
4,ChIJtTig2OQvdTERsaeKQh334H8,Sinh Tố KNA,03-03-2024 17:43,4.6,5.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 25, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 8, 8, 25, 58, 58, 33, 16, 25, 50, 41, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 8, 0, 0, 16, 16, 8, 0, 0, 16, 33, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 8, 0, 0, 0, 25, 58, 100, 100, 58, 25, 16, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 33, 16, 0, 8, 25, 25, 41, 25, 8, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33, 66, 58, 33, 25, 8, 0, 0, 0, 8, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 25, 33, 8, 0, 0, 0, 0, 8, 16, 33, 25, 8, 0, 0, 0, 0]}]",33,
5,ChIJM6ftm7kvdTERZrgtM81B4dk,Đô Đô Quán,03-03-2024 17:43,5.0,3.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 54, 27, 9, 0, 9, 27, 54, 27, 9, 0, 9, 27, 27, 18, 27, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 9, 18, 9, 0, 0, 0, 27, 36, 63, 36, 54, 36, 27, 18, 36, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 18, 18, 18, 9, 9, 18, 36, 36, 36, 27, 18, 45, 36, 27, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 18, 45, 100, 63, 63, 36, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 9, 9, 18, 18, 18, 36, 81, 45, 45, 63, 81, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 18, 45, 63, 27, 9, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 9, 27, 36, 18, 18, 27, 9, 9, 27, 54, 27, 18, 18, 27, 0, 0, 0]}]",27,
6,ChIJJ4UwzSUvdTERqPlFF83E6UA,Cà-rem,03-03-2024 17:43,4.3,206.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 19, 27, 38, 61, 87, 78, 87, 40, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 21, 42, 46, 55, 68, 91, 100, 85, 57, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 6, 0, 6, 27, 63, 91, 80, 65, 46, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 19, 27, 36, 40, 38, 63, 61, 55, 38, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 29, 38, 46, 78, 74, 74, 55, 40, 14, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 17, 42, 46, 82, 78, 91, 85, 53, 29, 0, 0]}]",78,29.0
7,ChIJ0ZsSASgvdTERLruS2J-nDk0,Vove Indian Groceries Store,03-03-2024 17:43,4.8,57.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 91, 75, 91, 66, 66, 25, 8, 8, 16, 8, 25, 41, 58, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 41, 41, 75, 33, 25, 16, 25, 33, 50, 83, 50, 25, 8, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 100, 66, 66, 33, 33, 75, 91, 91, 50, 33, 25, 50, 58, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 33, 41, 100, 83, 58, 25, 8, 8, 25, 25, 41, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 25, 8, 8, 16, 16, 0, 0, 8, 8, 33, 41, 50, 41, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 33, 16, 16, 16, 41, 41, 66, 50, 33, 8, 8, 16, 33, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 41, 50, 41, 16, 16, 8, 16, 8, 0, 16, 41, 83, 50, 0, 0, 0]}]",16,
8,ChIJt0tfsBEvdTER2mnkQ9d1alg,Ốc Lạ CMT8,03-03-2024 17:43,4.2,350.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 17, 21, 20, 20, 19, 28, 41, 58, 68, 73, 70, 60, 50]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 21, 20, 25, 32, 47, 67, 72, 76, 65, 63, 58, 44]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 23, 26, 28, 25, 25, 32, 42, 59, 73, 86, 85, 78, 64]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 27, 26, 24, 28, 27, 35, 41, 55, 68, 73, 76, 62, 46]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 12, 12, 13, 19, 25, 39, 59, 81, 97, 100, 94, 76, 58]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 18, 22, 28, 35, 31, 38, 56, 73, 86, 97, 92, 77, 57]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 19, 24, 27, 29, 29, 24, 24, 37, 58, 73, 78, 72, 58]}]",24,29.0
9,ChIJhy-7amIvdTERa7niojFVuyU,Hao Mon Quan Restaurant,03-03-2024 17:43,4.0,120.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 6, 18, 18, 18, 9, 6, 6, 13, 27, 38, 43, 29, 36, 36, 50, 47, 40, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 13, 36, 45, 50, 45, 34, 29, 20, 13, 15, 27, 59, 84, 100, 81, 52, 29, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 13, 15, 29, 31, 25, 22, 15, 20, 18, 29, 31, 40, 31, 40, 50, 50, 38, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 18, 34, 38, 36, 29, 34, 34, 36, 20, 13, 20, 22, 29, 38, 47, 68, 56, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 6, 20, 34, 38, 29, 18, 9, 6, 9, 13, 22, 34, 40, 59, 65, 56, 40, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 6, 15, 38, 54, 52, 36, 36, 50, 50, 47, 38, 43, 63, 84, 88, 72, 47, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 4, 25, 61, 88, 90, 63, 43, 25, 13, 13, 27, 47, 65, 72, 77, 61, 43, 0]}]",47,
