,place_id,name,datetime,rating,rating_n,populartimes,usual_popularity,current_popularity
0,ChIJe_zcvicvdTERSGbNONHtAuQ,Cơm Việt Nam,28-03-2024 12:00,4.0,27.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 6, 25, 37, 75, 68, 56, 25, 31, 25, 25, 18, 6, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6, 25, 62, 68, 56, 68, 37, 25, 6, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 6, 0, 6, 25, 62, 100, 93, 62, 31, 12, 0, 0, 18, 25, 0, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 6, 6, 18, 18, 37, 87, 93, 68, 37, 31, 37, 25, 18, 25, 0, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 25, 37, 37, 18, 18, 37, 43, 18, 6, 6, 18, 43, 37, 18, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 56, 68, 43, 31, 50, 56, 93, 68, 56, 43, 50, 18, 12, 18, 0, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 12, 18, 6, 6, 31, 43, 56, 50, 31, 12, 0, 0, 12, 31, 0, 0, 0, 0]}]",93,
1,ChIJacTy9dYudTERKxqTh09ADuc,Cá Vàng Cá Cảnh - Ranchu Mon,28-03-2024 12:00,4.7,49.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 42, 78, 42, 35, 57, 57, 28, 14, 21, 28, 50, 64, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 28, 42, 85, 78, 78, 71, 64, 35, 7, 7, 28, 35, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 21, 14, 0, 0, 0, 14, 42, 50, 21, 21, 35, 71, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 14, 7, 0, 7, 14, 35, 21, 21, 14, 42, 42, 42, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 28, 35, 21, 28, 21, 7, 7, 14, 35, 28, 50, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 57, 50, 35, 35, 71, 92, 100, 78, 57, 42, 35, 50, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 64, 64, 42, 42, 21, 21, 35, 21, 42, 64, 78, 57, 0, 0]}]",0,
2,ChIJN6EiZ7QvdTERylk_MNiBq30,Cá Tháng Tư,28-03-2024 12:00,5.0,1.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 36, 54, 45, 27, 9, 0, 18, 36, 36, 9, 0, 0, 9, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 45, 18, 9, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 18, 0, 0, 0, 9, 27, 27, 45, 18, 9, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 18, 36, 27, 36, 36, 54, 36, 27, 9, 0, 0, 18, 45, 100, 81, 63, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 18, 18, 0, 18, 36, 54, 36, 45, 18, 9, 0, 0, 9, 18, 18, 27, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 9, 27, 36, 27, 18, 18, 9, 18, 45, 45, 27, 9, 0, 9, 9, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36, 27, 18, 0, 0]}]",36,
3,ChIJl04GSzgvdTERmM7RgC8diXI,Bún chả cá sứa Nha Trang Thảo Hà,28-03-2024 12:00,4.2,25.0,"[{'name': 'Monday', 'data': [46, 84, 76, 46, 7, 7, 23, 30, 15, 15, 38, 15, 7, 0, 7, 7, 0, 0, 0, 0, 0, 7, 7, 23]}, {'name': 'Tuesday', 'data': [23, 15, 23, 7, 30, 15, 15, 15, 38, 46, 30, 15, 23, 46, 23, 15, 15, 38, 30, 38, 53, 30, 46, 23]}, {'name': 'Wednesday', 'data': [23, 30, 30, 23, 53, 38, 38, 23, 38, 23, 23, 30, 15, 15, 23, 7, 0, 15, 23, 15, 7, 15, 30, 30]}, {'name': 'Thursday', 'data': [53, 76, 100, 61, 15, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 7, 7, 15, 30, 15, 23, 30]}, {'name': 'Friday', 'data': [46, 30, 23, 30, 0, 7, 23, 30, 15, 7, 0, 0, 0, 0, 7, 15, 7, 7, 23, 23, 15, 23, 23, 15]}, {'name': 'Saturday', 'data': [7, 0, 0, 0, 0, 7, 23, 7, 0, 0, 15, 38, 53, 23, 23, 30, 61, 38, 46, 69, 61, 23, 7, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 23, 38, 23, 30, 53, 38, 15, 7, 15, 15, 30, 30, 23, 30, 15, 7, 0, 7, 15, 23]}]",0,
4,ChIJtTig2OQvdTERsaeKQh334H8,Sinh Tố KNA,28-03-2024 12:00,4.6,5.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 45, 18, 18, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 9, 18, 36, 18, 18, 18, 45, 45, 27, 9, 27, 63, 72, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36, 45, 45, 54, 36, 36, 36, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45, 81, 100, 90, 72, 36, 54, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 27, 9, 0, 0, 9, 36, 36, 18, 18, 9, 0, 0, 0, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27, 36, 36, 27, 36, 9, 0, 9, 18, 36, 18, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 27, 54, 27, 9, 0, 0, 0, 9, 27, 36, 27, 9, 0, 0, 0, 0]}]",0,
5,ChIJM6ftm7kvdTERZrgtM81B4dk,Đô Đô Quán,28-03-2024 12:00,5.0,3.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 50, 20, 20, 0, 20, 40, 90, 60, 40, 10, 10, 40, 30, 10, 20, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 20, 30, 10, 0, 0, 20, 30, 60, 70, 40, 50, 30, 10, 0, 20, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 10, 10, 20, 10, 10, 20, 40, 30, 10, 0, 10, 30, 50, 40, 20, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 20, 10, 0, 0, 10, 20, 10, 0, 0, 20, 40, 80, 50, 40, 20, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 20, 20, 20, 10, 20, 40, 80, 40, 50, 60, 100, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 20, 30, 20, 0, 0, 0, 0, 0, 10, 20, 40, 30, 30, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 10, 20, 20, 40, 20, 20, 20, 10, 10, 30, 60, 60, 30, 20, 0, 0, 0, 0]}]",10,
6,ChIJJ4UwzSUvdTERqPlFF83E6UA,Cà-rem,28-03-2024 12:00,4.3,209.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 3, 15, 31, 62, 98, 94, 96, 47, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 15, 33, 39, 49, 64, 86, 100, 74, 49, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 17, 5, 5, 21, 50, 74, 64, 50, 43, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 21, 33, 33, 39, 35, 56, 43, 37, 23, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 21, 23, 37, 64, 52, 45, 33, 35, 21, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 23, 50, 56, 96, 86, 84, 58, 33, 19, 0, 0]}]",23,
7,ChIJ0ZsSASgvdTERLruS2J-nDk0,Vove Indian Groceries Store,28-03-2024 12:00,4.8,67.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 30, 15, 15, 23, 30, 7, 0, 7, 23, 7, 7, 23, 38, 0, 0, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 15, 23, 46, 30, 23, 30, 23, 53, 53, 92, 53, 46, 23, 0, 0, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 100, 61, 46, 15, 15, 61, 61, 76, 30, 15, 15, 38, 46, 0, 0, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 38, 46, 92, 53, 46, 7, 0, 0, 7, 15, 30, 0, 0, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 53, 23, 7, 7, 30, 38, 38, 30, 7, 23, 30, 76, 76, 0, 0, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 53, 23, 7, 7, 23, 15, 30, 30, 7, 15, 15, 38, 38, 0, 0, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 23, 53, 69, 30, 23, 23, 23, 15, 7, 30, 46, 76, 38, 0, 0, 0]}]",92,
8,ChIJt0tfsBEvdTER2mnkQ9d1alg,Ốc Lạ CMT8,28-03-2024 12:00,4.2,352.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 13, 18, 17, 18, 19, 26, 35, 53, 67, 79, 77, 73, 55]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 14, 14, 15, 20, 23, 39, 60, 71, 82, 76, 77, 69, 48]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 25, 28, 28, 26, 26, 32, 44, 63, 82, 100, 96, 89, 69]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 21, 20, 17, 25, 26, 32, 37, 52, 68, 80, 86, 75, 57]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 9, 12, 14, 22, 30, 43, 61, 78, 96, 98, 100, 85, 67]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 21, 28, 34, 30, 37, 56, 72, 84, 88, 82, 72, 54]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 19, 26, 32, 32, 31, 25, 25, 38, 62, 80, 89, 79, 60]}]",20,10.0
9,ChIJhy-7amIvdTERa7niojFVuyU,Hao Mon Quan Restaurant,28-03-2024 12:00,4.0,121.0,"[{'name': 'Monday', 'data': [0, 0, 0, 0, 0, 0, 7, 17, 19, 21, 17, 9, 9, 12, 21, 39, 36, 24, 31, 39, 56, 53, 39, 0]}, {'name': 'Tuesday', 'data': [0, 0, 0, 0, 0, 0, 12, 31, 46, 46, 39, 21, 24, 19, 21, 24, 36, 60, 80, 100, 85, 53, 29, 0]}, {'name': 'Wednesday', 'data': [0, 0, 0, 0, 0, 0, 9, 21, 34, 36, 29, 21, 17, 21, 29, 34, 41, 46, 46, 58, 60, 48, 29, 0]}, {'name': 'Thursday', 'data': [0, 0, 0, 0, 0, 0, 17, 34, 41, 34, 26, 29, 26, 29, 14, 12, 21, 24, 34, 39, 46, 58, 48, 0]}, {'name': 'Friday', 'data': [0, 0, 0, 0, 0, 0, 9, 19, 34, 43, 39, 39, 26, 21, 21, 21, 34, 43, 53, 56, 56, 41, 24, 0]}, {'name': 'Saturday', 'data': [0, 0, 0, 0, 0, 0, 2, 14, 29, 48, 48, 43, 39, 53, 43, 36, 34, 36, 58, 68, 65, 56, 39, 0]}, {'name': 'Sunday', 'data': [0, 0, 0, 0, 0, 0, 7, 21, 58, 90, 92, 63, 41, 26, 12, 9, 21, 34, 63, 78, 100, 80, 51, 0]}]",26,0.0
