,place_id,name,business_status,formatted_address,price_level,rating,types
0,ChIJe_zcvicvdTERSGbNONHtAuQ,Cơm Việt Nam,OPERATIONAL,"11 Đ. Cách Mạng Tháng 8, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
1,ChIJacTy9dYudTERKxqTh09ADuc,Cá Vàng Mon - Ranchu Mon,OPERATIONAL,"372/23C Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.6,"['pet_store', 'point_of_interest', 'store', 'establishment']"
2,ChIJN6EiZ7QvdTERylk_MNiBq30,Cá Tháng Tư,OPERATIONAL,"441 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['cafe', 'point_of_interest', 'store', 'food', 'establishment']"
3,ChIJl04GSzgvdTERmM7RgC8diXI,Bún chả cá sứa Nha Trang Thảo Hà,OPERATIONAL,"455 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh 70000, Vietnam",,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']"
4,ChIJtTig2OQvdTERsaeKQh334H8,Sinh Tố KNA,OPERATIONAL,"390/4/6 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.6,"['cafe', 'point_of_interest', 'food', 'establishment']"
5,ChIJM6ftm7kvdTERZrgtM81B4dk,Đô Đô Quán,OPERATIONAL,"42/4 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['restaurant', 'point_of_interest', 'food', 'establishment']"
6,ChIJJ4UwzSUvdTERqPlFF83E6UA,Cà-rem,OPERATIONAL,"191 Đ. Cách Mạng Tháng 8, Phường 4, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",2.0,4.3,"['point_of_interest', 'store', 'food', 'establishment']"
7,ChIJ0ZsSASgvdTERLruS2J-nDk0,Vove Indian Groceries Store,OPERATIONAL,"571/3H Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",,4.8,"['grocery_or_supermarket', 'point_of_interest', 'store', 'food', 'establishment']"
9,ChIJt0tfsBEvdTER2mnkQ9d1alg,Ốc Lạ CMT8,OPERATIONAL,"Hẻm 283/10, Đ. Cách Mạng Tháng 8, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']"
10,ChIJhy-7amIvdTERa7niojFVuyU,Hao Mon Quan Restaurant,OPERATIONAL,"281 Đ. Cách Mạng Tháng 8, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
11,ChIJ98k-SyQvdTERDU8T9bdMkpo,Nhà hàng Biển Dương 6 - Cách Mạng Tháng Tám,OPERATIONAL,"205 Đ. Cách Mạng Tháng 8, Phường 4, Quận 3, Thành phố Hồ Chí Minh, Vietnam",3.0,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']"
12,ChIJk7fzZSgvdTER833RJ7BD5Ok,SeaShell Mrs. Hồng,OPERATIONAL,"210/15 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",2.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']"
13,ChIJq3PvIIcvdTERuDnUmvKGLNo,"Hủ Tiếu cá Thẩm Yên, cơm chiều",OPERATIONAL,"599 Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
14,ChIJ732_t9YudTERUCTvB0mLcNQ,Quán Nha Trang Ngon,OPERATIONAL,"430/32A Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
16,ChIJK-bKLNUvdTERFcn2u35FudM,Vi cá Ông Đức,OPERATIONAL,"436/29 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
21,ChIJW0cdBcQvdTER8-oMJwT0FuU,FIT CENTER,OPERATIONAL,"475C Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh 740200, Vietnam",,4.6,"['gym', 'health', 'point_of_interest', 'establishment']"
42,ChIJ9YE09dEudTERNEcX1eDdajY,White Rabbit Amusement Park,OPERATIONAL,"875 Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,4.3,"['tourist_attraction', 'amusement_park', 'park', 'point_of_interest', 'establishment']"
49,ChIJmxddNssudTER2KgnowvIsXE,B's Mart - Cửa hàng 10,OPERATIONAL,"406C Đ. Cách Mạng Tháng 8, Phường 4, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,3.5,"['convenience_store', 'store', 'food', 'point_of_interest', 'establishment']"
50,ChIJoccfPyYvdTERaGaHzcJJasU,Thien Nam Hoa Electronics - District 10,OPERATIONAL,"277B Đ. Cách Mạng Tháng 8, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,3.8,"['electronics_store', 'store', 'point_of_interest', 'establishment']"
52,ChIJ-bSHQcsudTERqn5iWBupcTY,Công Ty Cổ Phần Giải Pháp Bao Bì Giấy Đất Phương Nam,OPERATIONAL,"981 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['transit_station', 'point_of_interest', 'establishment']"
57,ChIJfZdXndEudTERr1t6vCLNFUU,Aussie Meat Restaurants,OPERATIONAL,"595/29A3 Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']"
58,ChIJfyv1TTsvdTERqTrgixD32_0,Bún Bò Xưa,OPERATIONAL,"48 Đ. Cách Mạng Tháng 8, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Vietnam",2.0,3.8,"['restaurant', 'point_of_interest', 'food', 'establishment']"
60,ChIJL9PThecvdTERM83qk-daalM,Home Mì,OPERATIONAL,"65A Đ. Cách Mạng Tháng 8, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Vietnam",,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']"
